global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
1,0,0,2,0,4,2.757264,27.441139,4.513731,0.193494,0.058058,0.078278
1,0,0,4,0,4,1.3e-05,1.9e-05,6e-06,1.0,1.0,1.0
2,0,1,2,0,4,10.475842,62.925625,22.101995,0.260961,0.085485,0.125425
2,0,1,4,0,4,6e-06,5e-06,1.2e-05,1.0,1.0,1.0
3,0,2,4,0,4,3e-06,3e-06,3e-06,1.0,1.0,1.0
3,0,2,2,0,4,35.235638,80.849937,10.901176,0.145345,0.147648,0.191892
4,0,3,2,0,4,41.47974,229.642883,85.429977,0.252653,0.106006,0.129429
4,0,3,4,0,4,1e-06,2e-06,3e-06,1.0,1.0,1.0
5,0,4,4,0,4,2e-06,4e-06,3e-06,1.0,1.0,1.0
5,0,4,2,0,4,40.442802,43.770916,28.25876,0.148949,0.139239,0.252252
6,0,5,2,0,4,23.40933,132.690048,61.466347,0.185586,0.1001,0.15986
6,0,5,4,0,4,2e-06,3e-06,3e-06,1.0,1.0,1.0
7,0,6,2,0,4,52.727566,86.44426,61.57085,0.205105,0.153854,0.205806
7,0,6,4,0,4,1e-06,1e-06,1e-06,1.0,1.0,1.0
8,0,7,4,0,4,2e-06,2e-06,2e-06,1.0,1.0,1.0
8,0,7,2,0,4,60.76115,255.294296,92.656906,0.222022,0.128128,0.228929
9,0,8,4,0,4,3e-06,2e-06,3e-06,1.0,1.0,1.0
9,0,8,2,0,4,82.049782,122.777985,35.613865,0.150951,0.16006,0.248148
10,0,9,4,0,4,4e-06,3e-06,2e-06,1.0,1.0,1.0
10,0,9,2,0,4,48.669197,77.406715,17.022577,0.233634,0.204104,0.441942
11,0,10,4,0,4,3e-06,6e-06,2e-06,1.0,1.0,1.0
11,0,10,2,0,4,105.666229,120.781097,24.952301,0.157758,0.162062,0.402703
12,0,11,4,0,4,5e-06,7e-06,3e-06,1.0,1.0,1.0
12,0,11,2,0,4,191.671204,225.143265,42.897797,0.132032,0.135936,0.302102
13,0,12,2,0,4,83.107277,411.947998,184.502167,0.173574,0.029429,0.043544
13,0,12,4,0,4,4e-06,0.000122,3.2e-05,1.0,1.0,1.0
14,0,13,2,0,4,28.974293,163.66983,101.090103,0.21972,0.058158,0.082683
14,0,13,4,0,4,2.2e-05,1.1e-05,2.2e-05,1.0,1.0,1.0
15,0,14,2,0,4,27.854618,87.785118,13.894222,0.148649,0.144044,0.347848
15,0,14,4,0,4,2e-06,4e-06,2e-06,1.0,1.0,1.0
16,0,15,2,0,4,20.593212,169.673019,99.040344,0.188789,0.119419,0.155355
16,0,15,4,0,4,2e-06,1e-05,3e-06,1.0,1.0,1.0
17,0,16,4,0,4,2e-06,3e-06,3e-06,1.0,1.0,1.0
