global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
1,0,0,2,0,4,8.579247,179.463379,3.343137,0.089703,0.058238,0.09611
1,0,0,0,0,4,3.60558,8.920589,3.590567,0.108856,0.17861,0.125749
1,0,0,1,1,4,2.900756,16.600405,3.66847,0.218599,0.077509,0.089619
1,0,0,3,1,4,0.000226,0.00309,0.001146,0.407237,0.159211,0.169737
1,0,0,4,0,4,3.442647,1243.132568,1.2392,0.177946,0.093656,0.156495
2,0,1,0,0,4,2.743016,1.618605,2.930132,0.163215,0.342916,0.255722
2,0,1,2,0,4,2.02873,84.236839,5.70397,0.262815,0.145995,0.188558
2,0,1,1,1,4,0.308009,9.247138,5.400136,0.678979,0.199135,0.207439
2,0,1,4,0,4,0.578066,18.850891,1.24004,0.232628,0.24139,0.321148
2,0,1,3,1,4,0.000449,0.005445,0.002599,0.627632,0.293421,0.326316
3,0,2,1,1,4,0.205208,9.958174,4.743137,0.767215,0.209775,0.199654
3,0,2,3,1,4,0.000183,0.030282,0.019085,0.838158,0.257895,0.280263
3,0,2,4,0,4,0.230516,2.076636,0.523083,0.494562,0.330514,0.336858
3,0,2,0,0,4,0.41366,0.9919,0.982728,0.198093,0.330245,0.257221
3,0,2,2,0,4,40.076641,135.448105,14.846997,0.124371,0.136613,0.193249
4,0,3,3,1,4,0.001668,1.196938,0.939609,0.873026,0.218421,0.219737
4,0,3,1,1,4,0.489779,61.80304,58.653519,0.835467,0.141176,0.139965
4,0,3,2,0,4,25.579554,293.211243,140.540726,0.35,0.097597,0.131922
4,0,3,4,0,4,1.88985,4.742841,15.591787,0.330816,0.217221,0.284894
4,0,3,0,0,4,42.443493,2.134085,7.073338,0.137738,0.397956,0.219346
5,0,4,4,0,4,4.645839,1.548682,6.839608,0.474622,0.277341,0.297281
5,0,4,2,0,4,117.201431,6.376185,57.926216,0.076316,0.0873,0.152517
5,0,4,3,1,4,0.198398,0.389777,0.242075,0.819737,0.304605,0.306579
5,0,4,1,1,4,3.730979,43.936996,43.159405,0.710986,0.235294,0.21782
5,0,4,0,0,4,11.271127,4.491832,5.846691,0.161989,0.30654,0.281744
6,0,5,2,0,4,52.315254,194.469086,64.335007,0.229062,0.115789,0.131579
6,0,5,3,1,4,0.031775,21.511274,16.144485,0.835526,0.202632,0.211842
6,0,5,4,0,4,18.283911,36.526035,18.277697,0.278248,0.148338,0.198792
6,0,5,1,1,4,1.127191,104.317062,87.370735,0.77699,0.094031,0.092907
6,0,5,0,0,4,12.474122,17.799637,4.878441,0.074659,0.179292,0.128747
7,0,6,2,0,4,24.968279,163.892197,38.357361,0.334783,0.163158,0.211327
7,0,6,4,0,4,0.280244,0.366478,0.853936,0.502417,0.279154,0.30423
7,0,6,1,1,4,0.19445,8.591992,7.920425,0.808737,0.231488,0.230277
7,0,6,3,1,4,0.021587,0.446677,0.280597,0.829605,0.346053,0.351316
7,0,6,0,0,4,24.804638,0.877084,1.885863,0.135014,0.312262,0.252452
8,0,7,3,1,4,0.031177,0.010642,0.003492,0.775,0.393421,0.4
8,0,7,1,1,4,0.375818,20.186571,9.367476,0.797837,0.232526,0.229498
8,0,7,4,0,4,10.040563,1.493467,0.570889,0.263444,0.213897,0.390332
8,0,7,2,0,4,27.235455,197.420441,51.777439,0.302632,0.183295,0.250915
8,0,7,0,0,4,4.8481,0.677164,1.383304,0.204496,0.472207,0.28515
9,0,8,0,0,4,3.376496,0.610467,1.638462,0.215804,0.359401,0.312125
9,0,8,4,0,4,0.874946,0.309117,0.483424,0.429909,0.401208,0.392145
9,0,8,2,0,4,14.60157,67.171204,23.438311,0.176316,0.113844,0.241076
9,0,8,1,1,4,0.427284,4.713705,4.842553,0.791869,0.282007,0.29801
9,0,8,3,1,4,0.029398,0.2829,0.192541,0.771711,0.439474,0.458553
10,0,9,4,0,4,3.479225,0.337788,1.62163,0.326284,0.267069,0.392145
10,0,9,2,0,4,94.977448,92.797325,60.319344,0.195195,0.170481,0.248627
10,0,9,3,1,4,0.146763,0.005638,0.005948,0.778947,0.408553,0.4375
10,0,9,1,1,4,7.167507,11.166644,7.263469,0.761159,0.247059,0.255277
10,0,9,0,0,4,2.293853,0.763106,1.205577,0.182289,0.372343,0.290599
11,0,10,1,1,4,0.318387,4.059807,2.109325,0.687543,0.229325,0.253547
11,0,10,4,0,4,1.085367,0.290175,0.532383,0.232931,0.284592,0.371299
11,0,10,2,0,4,52.573837,59.185478,10.631067,0.094622,0.107551,0.305721
11,0,10,3,1,4,0.000391,0.016885,0.007276,0.821711,0.486184,0.502632
11,0,10,0,0,4,1.108843,0.657229,0.560498,0.227248,0.305858,0.276158
12,0,11,0,0,4,1.275136,0.741297,0.551394,0.158311,0.337738,0.25327
12,0,11,1,1,4,0.176772,11.528754,6.062318,0.677249,0.21263,0.216176
12,0,11,4,0,4,1.435725,0.005844,0.007026,0.39577,0.255891,0.327795
12,0,11,2,0,4,79.850746,73.278114,51.836506,0.070938,0.08135,0.240961
12,0,11,3,1,4,0.001105,0.001318,0.000811,0.773684,0.406579,0.413816
13,0,12,1,1,4,0.289535,3.797925,2.804861,0.695415,0.195502,0.207266
13,0,12,3,1,4,4e-05,0.000342,0.000251,0.814474,0.4,0.415132
13,0,12,0,0,4,1.353453,0.827739,0.894295,0.14673,0.339646,0.256812
13,0,12,2,0,4,4.494544,47.822254,3.530499,0.235698,0.116705,0.219565
13,0,12,4,0,4,0.187057,0.372256,0.28039,0.296073,0.234139,0.333535
14,0,13,2,0,4,28.829466,240.13707,9.370234,0.075172,0.091648,0.279977
14,0,13,0,0,4,0.609482,1.405564,0.683279,0.228065,0.281744,0.279428
14,0,13,3,1,4,2e-05,4.9e-05,4.4e-05,0.819737,0.452632,0.469737
14,0,13,1,1,4,0.260016,1.834117,1.384939,0.639187,0.196107,0.226903
14,0,13,4,0,4,0.002731,0.367265,0.213296,0.259819,0.228097,0.379154
15,0,14,3,1,4,0.000156,0.01832,0.014719,0.794737,0.253289,0.265132
15,0,14,2,0,4,31.563572,60.243416,18.149332,0.081922,0.082037,0.095538
15,0,14,1,1,4,0.211532,10.59188,4.447242,0.672059,0.102076,0.108045
15,0,14,4,0,4,0.44196,1.399878,0.764024,0.325378,0.154985,0.197885
15,0,14,0,0,4,4.11394,0.671792,2.178021,0.097275,0.28515,0.140872
16,0,15,3,1,4,0.021796,0.136173,0.060075,0.764474,0.634868,0.696053
16,0,15,0,0,4,0.777484,1.294079,0.566548,0.208719,0.331199,0.345777
16,0,15,2,0,4,63.992573,255.667007,14.45691,0.09016,0.088673,0.404805
16,0,15,1,1,4,0.303231,5.956652,4.558861,0.591349,0.309256,0.342647
16,0,15,4,0,4,0.623076,0.435527,0.419445,0.314199,0.333837,0.487613
17,0,16,4,0,4,0.652777,0.902746,0.469182,0.331118,0.253776,0.422054
17,0,16,2,0,4,64.027908,122.422668,32.462433,0.158467,0.172426,0.326087
17,0,16,3,1,4,0.041695,0.167395,0.12563,0.751316,0.559868,0.579605
17,0,16,1,1,4,2.498455,2.915295,2.356879,0.586765,0.237976,0.263927
17,0,16,0,0,4,0.934533,0.980583,0.743955,0.149455,0.311853,0.312125
18,0,17,0,0,4,0.619703,1.929468,1.105324,0.229019,0.195913,0.211989
18,0,17,3,1,4,0.039117,0.138653,0.153703,0.783553,0.480921,0.525
18,0,17,2,0,4,155.759781,23.714251,40.536716,0.065446,0.079634,0.237414
18,0,17,4,0,4,0.857949,0.964041,0.58764,0.291239,0.246526,0.322357
18,0,17,1,1,4,2.733204,11.153842,10.220886,0.583737,0.193945,0.216263
19,0,18,0,0,4,0.845715,0.811245,0.507833,0.131471,0.337602,0.23079
19,0,18,1,1,4,0.342336,4.207404,3.795069,0.672578,0.225433,0.227336
19,0,18,4,0,4,0.378344,0.662329,0.287139,0.328701,0.286103,0.377643
19,0,18,2,0,4,31.284634,21.625366,19.84807,0.183982,0.202517,0.257208
19,0,18,3,1,4,0.035964,0.001851,0.00171,0.811184,0.486184,0.5
20,0,19,3,1,4,0.000653,0.002572,0.001559,0.794079,0.490132,0.494079
20,0,19,4,0,4,1.656132,1.035086,0.711046,0.193656,0.236254,0.398792
20,0,19,1,1,4,0.238401,4.91398,3.792217,0.566955,0.214533,0.221021
20,0,19,2,0,4,16.445814,50.327095,11.398972,0.194851,0.159954,0.283753
20,0,19,0,0,4,1.281325,0.844251,0.854228,0.176158,0.325204,0.234469
21,0,20,3,1,4,0.001234,0.003122,0.003034,0.778289,0.548684,0.580263
21,0,20,4,0,4,0.709296,0.432216,0.264335,0.340181,0.302719,0.498792
21,0,20,0,0,4,0.68406,0.374512,0.346039,0.197275,0.437602,0.338147
21,0,20,2,0,4,15.702209,60.061268,6.644224,0.188101,0.182609,0.489016
21,0,20,1,1,4,1.070768,1.443911,1.88473,0.584516,0.277855,0.295934
22,0,21,3,1,4,0.001467,0.116049,0.144634,0.755921,0.555263,0.547368
22,0,21,1,1,4,1.827618,6.365359,5.691512,0.525519,0.220934,0.250346
22,0,21,0,0,4,0.76135,0.742566,0.748859,0.202316,0.353542,0.240463
22,0,21,2,0,4,87.436035,92.070747,22.978861,0.076888,0.110297,0.291762
22,0,21,4,0,4,0.957322,0.600943,0.555683,0.255287,0.256798,0.385498
23,0,22,1,1,4,1.289747,17.994015,12.367489,0.556142,0.25519,0.266522
